"","plantid","shootmass","leafnum","stolonnum","nodulenum","MassofNodules","NodulesinTube","meannodulemass","totalnodulemass","Chlor","Harvester","Harvestdate","Harvestday","strain","nitrogen","field","plot","plantspori","plantpopori","plantsprear","plantpoprear","type"
"502",866,0.59,44,4,144,0.0155,105,0.000147619,0.021257143,25.7,"DW","11-Feb",29,"328","Nitrogen","2","2B","T. pratense","Greece","T. repens","Idaho","treat"
"503",867,0.87,13,1,484,0.0112,101,0.000110891,0.053671287,48.7,"DW","11-Feb",29,"706","Control","4","4A","T. hybridum","Colorado","T. pratense","Pennsylvania","treat"
"504",870,0.11,8,1,812,0.0032,101,3.17e-05,0.025726733,20.5,"DW","11-Feb",29,"651","Nitrogen","6","6B","T. hybridum","Russia","T. hybridum","Colorado","treat"
"505",871,0.51,19,3,133,0.0457,133,0.000343609,0.0457,37.3,"JL","11-Feb",29,"156","Nitrogen","2","2B","T. hybridum","Colorado","T. hybridum","Russia","treat"
"506",872,0.61,23,4,258,0.0111,118,9.41e-05,0.024269492,46,"MH","11-Feb",29,"460","Control","3","3A","T. repens","Chile","T. repens","Idaho","treat"
"507",875,0.47,14,2,255,0.0086,114,7.54e-05,0.019236842,34.5,"MH","11-Feb",29,"901","Control","2","2A","T. repens","Idaho","T. repens","Chile","treat"
"508",880,0.31,17,2,130,0.0145,100,0.000145,0.01885,48.5,"MH","11-Feb",29,"3","Control","6","6A","T. repens","Idaho","T. hybridum","Colorado","treat"
"509",881,0.35,13,3,34,0.0135,34,0.000397059,0.0135,36,"JL","11-Feb",29,"499","Control","3","3A","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"510",883,0.06,5,1,80,0.0071,80,8.875e-05,0.0071,21.1,"JL","11-Feb",29,"729","Control","1","1A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"511",884,0.41,17,1,136,0.0145,105,0.000138095,0.018780952,29.7,"MH","11-Feb",29,"155","Control","4","4A","T. pratense","Greece","T. hybridum","Russia","treat"
"512",885,0.37,15,1,65,0.0268,65,0.000412308,0.0268,46.5,"MH","11-Feb",29,"493","Control","5","5A","T. pratense","Greece","T. hybridum","Colorado","treat"
"513",888,0.08,5,1,27,0.041,27,0.001518519,0.041,22.5,"MH","11-Feb",29,"40","Nitrogen","3","3B","T. repens","Idaho","T. hybridum","Russia","treat"
"514",889,0.12,10,1,550,0.0022,100,2.2e-05,0.0121,17.5,"MH","11-Feb",29,"262","Nitrogen","2","2B","T. repens","Idaho","T. hybridum","Russia","treat"
"515",891,0.48,27,4,55,0.0218,55,0.000396364,0.0218,43.2,"JL","11-Feb",29,"462","Control","5","5A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"516",893,0.49,26,4,46,0.0208,46,0.000452174,0.0208,47.6,"JL","11-Feb",29,"596","Nitrogen","1","1B","T. repens","Idaho","T. hybridum","Russia","treat"
"517",894,NA,6,1,142,0.0211,100,0.000211,0.029962,48.4,"TS","10-Feb",28,"56","Nitrogen","5","5B","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"518",895,0.02,5,1,15,0.001,15,6.67e-05,0.001,NA,"MH","11-Feb",29,"493","Control","5","5A","T. pratense","Greece","T. hybridum","Russia","treat"
